#{"t_start": 1726061253.6615877, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
967.6,1000,48488.870377,0.009,0.02059967956054017
944.2,1000,48492.644461,0.02,0.040161543639219206
975.8,1000,48496.528683,0.003,0.007151370679380214
940.9,1000,48500.577268,0.023,0.045966444495518274
981.7,1000,48504.628212,0.001,0.002300437083045779
946.9,1000,48508.647121,0.02,0.04462293618920125
972.3,1000,48512.611908,0.005,0.011627906976744186
976.7,1000,48516.744143,0.003,0.007141156867412521
927.2,1000,48520.614729,0.027,0.058114812189936214
965.6,1000,48524.580661,0.011,0.02425938885001166
973.3,1000,48528.928465,0.006,0.014214641080312722
973.1,1000,48532.719591,0.006,0.014545454545454545
963.2,1000,48536.761263,0.012,0.023261117445838083
963.3,1000,48540.486246,0.009,0.021608643457382955
979.2,1000,48544.208692,0.001,0.0023986567522187576
934.8,1000,48548.194693,0.026,0.047384890478319175
968.4,1000,48552.097021,0.009,0.021686746987951807
954.9,1000,48556.013575,0.014,0.03278688524590164
978.8,1000,48559.763693,0.0,0.0
974.8,1000,48563.36364,0.002,0.004686035613870665
960.3,1000,48567.330799,0.009,0.02096924510717614
972.7,1000,48571.061456,0.002,0.004682744088035589
951.4,1000,48574.812263,0.015,0.0337869544814641
976.6,1000,48578.661173,0.003,0.006914035492048859
974.9,1000,48582.309553,0.005,0.011238480557428635
972.2,1000,48586.282596,0.006,0.014157621519584709
972.0,1000,48589.926105,0.005,0.011652295502213935
959.4,1000,48593.65353,0.011,0.024056603773584907
967.0,1000,48597.630416,0.008,0.014472455648926238
946.5,1000,48601.253561,0.019,0.04141345937429665
973.3,1000,48605.096879,0.005,0.008385744234800839
963.2,1000,48608.861879,0.011,0.02518891687657431
980.0,1000,48612.531591,0.0,0.0
973.3,1000,48616.595507,0.005,0.011389521640091117
981.7,1000,48620.579149,0.0,0.0
974.8,1000,48624.530389,0.0,0.0
973.3,1000,48628.46503,0.006,0.014134275618374558
954.7,1000,48632.144875,0.015,0.03314917127071823
977.7,1000,48636.253556,0.003,0.007255139056831923
971.5,1000,48639.9117,0.007,0.01631321370309951
972.4,1000,48643.561816,0.005,0.012022120702091849
958.8,1000,48647.603792,0.012,0.024112525117213665
950.0,1000,48651.22024,0.016,0.036925917378259863
962.0,1000,48655.004607,0.012,0.027472527472527472
969.4,1000,48658.762366,0.005,0.008665906499429875
977.7,1000,48662.377216,0.002,0.004440497335701598
983.5,1000,48666.397829,0.0,0.0
975.6,1000,48670.031861,0.003,0.006787330316742082
961.3,1000,48673.715884,0.012,0.02724014336917563
968.3,1000,48677.821206,0.009,0.019637462235649546
983.7,1000,48681.626343,0.0,0.0
979.2,1000,48685.58782,0.001,0.002279981760145919
980.6,1000,48689.495203,0.003,0.005722460658082976
975.9,1000,48693.297345,0.005,0.01137915339098771
969.8,1000,48697.359865,0.009,0.017714147051686484
973.4,1000,48700.980303,0.007,0.01385570950788342
964.8,1000,48704.763043,0.011,0.023990772779700114
