#{"t_start": 1720712696.5932832, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
974,1000,33138.114321,0.013,0.029035433070866142
984,1000,33140.607822,0.008,0.019056693663649357
996,1000,33143.076884,0.002,0.004830917874396135
968,1000,33145.474264,0.016,0.03137254901960784
974,1000,33148.49016,0.013,0.02370012091898428
992,1000,33152.343251,0.004,0.00959462700887503
924,1000,33156.167237,0.038,0.0746407046824293
978,1000,33160.129557,0.011,0.02303832116788321
968,1000,33164.097397,0.016,0.03246124031007752
988,1000,33167.768608,0.006,0.012974531475252283
988,1000,33171.178966,0.006,0.011352885525070956
972,1000,33174.160619,0.014,0.02777129521586931
986,1000,33177.013978,0.007,0.01649387370405278
964,1000,33179.709318,0.018,0.0406352171882298
954,1000,33182.30537,0.023,0.045518535898639134
968,1000,33184.956011,0.016,0.03333333333333333
962,1000,33187.489419,0.019,0.03452297644040121
998,1000,33189.96939,0.001,0.002380952380952381
982,1000,33192.423305,0.009,0.019173704633645285
956,1000,33194.826137,0.022,0.046161092793217146
924,1000,33197.109979,0.038,0.07436131386861314
944,1000,33199.463276,0.028,0.05434782608695652
982,1000,33201.834494,0.009,0.02044790652385589
998,1000,33204.270569,0.001,0.0024563989191844758
992,1000,33206.719606,0.004,0.009480919649205973
974,1000,33209.131624,0.013,0.026058631921824105
988,1000,33211.530188,0.006,0.014292520247737018
994,1000,33213.934398,0.003,0.007513148009015778
974,1000,33216.308497,0.013,0.029782359679266894
970,1000,33218.657739,0.015,0.033156498673740056
988,1000,33221.070443,0.006,0.0135
980,1000,33223.473287,0.01,0.024160425223483932
988,1000,33225.898009,0.006,0.013969732246798603
966,1000,33228.338012,0.017,0.031638418079096044
978,1000,33230.81334,0.011,0.024667931688804556
984,1000,33233.223345,0.008,0.017883035282745288
950,1000,33235.606267,0.025,0.05048360462373201
972,1000,33238.076949,0.014,0.028134853262187728
978,1000,33240.529323,0.011,0.026359932901988976
958,1000,33242.958914,0.021,0.039111316824809075
984,1000,33245.399009,0.008,0.017193308550185873
988,1000,33247.779109,0.006,0.014177693761814745
992,1000,33250.19322,0.004,0.00905592030790129
962,1000,33252.579246,0.019,0.038303030303030304
986,1000,33254.983766,0.007,0.015073009891662742
964,1000,33257.366084,0.018,0.03799249530956848
978,1000,33259.878787,0.011,0.02489229296314026
978,1000,33262.341774,0.011,0.022303030303030304
940,1000,33264.860532,0.03,0.05478180129990715
974,1000,33267.419472,0.013,0.0265717674970344
928,1000,33269.900589,0.036,0.0745594215996385
984,1000,33273.388397,0.008,0.01603395425607168
990,1000,33277.092192,0.005,0.010232558139534883
976,1000,33280.71756,0.012,0.02629016553067186
982,1000,33284.353603,0.009,0.018052256532066508
966,1000,33287.621138,0.017,0.0339930151338766
968,1000,33290.729716,0.016,0.03386939571150097
960,1000,33293.677552,0.02,0.04217687074829932
964,1000,33296.493529,0.018,0.04027777777777778
964,1000,33299.213405,0.018,0.03238005199716379
948,1000,33301.809016,0.026,0.05901044030867
970,1000,33304.432327,0.015,0.03033220991815118
964,1000,33307.081416,0.018,0.038933951332560834
974,1000,33309.563987,0.013,0.02752513164193394
978,1000,33311.960727,0.011,0.02243355279200195
976,1000,33314.301105,0.012,0.025936599423631124
982,1000,33316.675988,0.009,0.02242152466367713
966,1000,33319.049898,0.017,0.03949814126394052
964,1000,33321.412018,0.018,0.039265039013340046
978,1000,33323.769006,0.011,0.020956719817767654
972,1000,33326.104763,0.014,0.024602026049204053
972,1000,33328.393968,0.014,0.027853881278538814
978,1000,33330.721763,0.011,0.02543940795559667
972,1000,33333.084149,0.014,0.030260047281323876
994,1000,33335.450326,0.003,0.0071174377224199285
964,1000,33337.841594,0.018,0.036839666357738644
986,1000,33340.281525,0.007,0.013592688071244434
962,1000,33342.704387,0.019,0.04113924050632911
958,1000,33345.072394,0.021,0.043121631122568546
964,1000,33347.455546,0.018,0.03401516892668352
958,1000,33349.935962,0.021,0.045476077688299386
988,1000,33352.402458,0.006,0.009845288326300985
974,1000,33354.831548,0.013,0.027751646284101598
982,1000,33357.231891,0.009,0.02116153303550435
992,1000,33359.64142,0.004,0.009775171065493646
942,1000,33362.055804,0.029,0.056708494208494206
986,1000,33364.514439,0.007,0.01645123384253819
978,1000,33366.947737,0.011,0.02366578121226757
982,1000,33369.385278,0.009,0.01984877126654064
980,1000,33371.821138,0.01,0.021891010712622262
964,1000,33374.254084,0.018,0.041116005873715125
964,1000,33376.664526,0.018,0.04103053435114504
958,1000,33379.116109,0.021,0.04323804948354552
990,1000,33381.554971,0.005,0.010554089709762533
980,1000,33384.029327,0.01,0.0207010115266996
996,1000,33386.546609,0.002,0.004885197850512946
982,1000,33389.288424,0.009,0.020756457564575646
978,1000,33392.840364,0.011,0.020009528346831826
994,1000,33396.567825,0.003,0.007253384912959381
982,1000,33400.47704,0.009,0.02120141342756184
956,1000,33403.930221,0.022,0.04600318833978593
966,1000,33407.155128,0.017,0.038380528902410484
956,1000,33410.129966,0.022,0.03949559838210802
952,1000,33412.944098,0.024,0.050057405281285876
964,1000,33415.724906,0.018,0.0375
990,1000,33418.409142,0.005,0.012048192771084338
970,1000,33421.006136,0.015,0.029279811097992915
986,1000,33423.512704,0.007,0.013059701492537313
978,1000,33426.021832,0.011,0.02469722156257421
958,1000,33428.474306,0.021,0.04672015101462954
980,1000,33430.869799,0.01,0.020637898686679174
994,1000,33433.243421,0.003,0.00724812756704518
972,1000,33435.627047,0.014,0.028578121339892248
974,1000,33438.041662,0.013,0.030494956603330986
968,1000,33440.463805,0.016,0.03546752648549056
952,1000,33442.844835,0.024,0.049988265665336776
972,1000,33445.243633,0.014,0.027879341864716637
988,1000,33447.658871,0.006,0.013908205841446454
976,1000,33450.063918,0.012,0.025216316440049444
984,1000,33452.501882,0.008,0.014939759036144579
968,1000,33454.887772,0.016,0.03615872270486029
966,1000,33457.273184,0.017,0.029797377830750895
992,1000,33459.669074,0.004,0.009587727708533078
984,1000,33462.072657,0.008,0.018157058556513846
994,1000,33464.538319,0.003,0.007015902712815715
978,1000,33466.961556,0.011,0.022933588150979456
934,1000,33469.400536,0.033,0.06581791976939708
958,1000,33471.837758,0.021,0.05089675230247213
976,1000,33474.246495,0.012,0.02556818181818182
936,1000,33476.616136,0.032,0.06770718839305342
984,1000,33479.001061,0.008,0.0177799135031235
988,1000,33481.396678,0.006,0.01446480231436837
940,1000,33483.741876,0.03,0.06200280767430978
910,1000,33486.021246,0.045,0.09425028184892897
936,1000,33488.336172,0.032,0.06674556213017752
972,1000,33490.695883,0.014,0.0322503008423586
994,1000,33493.120497,0.003,0.007317073170731708
968,1000,33495.547395,0.016,0.03717472118959108
942,1000,33497.963451,0.029,0.06015037593984962
992,1000,33500.432581,0.004,0.009937888198757764
974,1000,33502.849857,0.013,0.030197444831591175
952,1000,33505.259482,0.024,0.0477950234047795
966,1000,33507.699102,0.017,0.0371996303142329
968,1000,33510.111774,0.016,0.03604868913857678
962,1000,33513.459606,0.019,0.037505752416014726
964,1000,33517.22432,0.018,0.04157706093189964
960,1000,33520.914277,0.02,0.037045720984759674
984,1000,33524.623636,0.008,0.017407668783815573
968,1000,33528.141927,0.016,0.03504617570447549
